time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-09 00:00:00+00:00,29,27,11,3
2025-07-11 00:00:00+00:00,2,2,3,2
2025-07-12 00:00:00+00:00,2,2,0,0
2025-07-13 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,30,16,2,1
2025-07-15 00:00:00+00:00,32,19,0,0
2025-07-16 00:00:00+00:00,5,5,0,0
2025-07-17 00:00:00+00:00,2,2,0,0
2025-07-18 00:00:00+00:00,2,2,0,0
2025-07-19 00:00:00+00:00,6,4,0,0
2025-07-20 00:00:00+00:00,4,4,0,0
2025-07-21 00:00:00+00:00,5,5,0,0
2025-07-22 00:00:00+00:00,3,3,0,0
2025-07-23 00:00:00+00:00,2,2,0,0
2025-07-24 00:00:00+00:00,6,6,0,0
2025-07-25 00:00:00+00:00,6,5,73,2
2025-07-26 00:00:00+00:00,4,4,0,0
2025-07-27 00:00:00+00:00,5,5,0,0
2025-07-28 00:00:00+00:00,4,4,59,3
2025-07-29 00:00:00+00:00,4,4,4,1
2025-07-30 00:00:00+00:00,1,1,1,1
2025-07-31 00:00:00+00:00,1,1,1,1
2025-08-01 00:00:00+00:00,6,6,6,1
2025-08-02 00:00:00+00:00,5,5,0,0
2025-08-03 00:00:00+00:00,3,3,3,1
2025-08-04 00:00:00+00:00,4,4,0,0
2025-08-05 00:00:00+00:00,4,4,3,2
2025-08-06 00:00:00+00:00,2,2,0,0
2025-08-07 00:00:00+00:00,2,2,3,1
2025-08-08 00:00:00+00:00,3,3,0,0
2025-08-09 00:00:00+00:00,5,5,0,0
2025-08-10 00:00:00+00:00,3,3,1,1
2025-08-11 00:00:00+00:00,4,4,0,0
2025-08-12 00:00:00+00:00,3,3,1,1
2025-08-13 00:00:00+00:00,1,1,1,1
2025-08-14 00:00:00+00:00,3,3,1,1
2025-08-15 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,3,3,0,0
2025-08-17 00:00:00+00:00,4,4,0,0
2025-08-18 00:00:00+00:00,2,2,0,0
2025-08-19 00:00:00+00:00,3,3,0,0
2025-08-20 00:00:00+00:00,1,1,1,1
2025-08-21 00:00:00+00:00,4,4,3,1
2025-08-22 00:00:00+00:00,2,2,0,0
2025-08-23 00:00:00+00:00,4,4,0,0
2025-08-24 00:00:00+00:00,3,3,0,0
2025-08-25 00:00:00+00:00,1,1,0,0
2025-08-26 00:00:00+00:00,3,3,3,1
2025-08-27 00:00:00+00:00,3,3,19,1
2025-08-28 00:00:00+00:00,2,2,0,0
2025-08-29 00:00:00+00:00,4,4,1,1
2025-08-30 00:00:00+00:00,3,3,0,0
2025-08-31 00:00:00+00:00,2,2,4,1
2025-09-01 00:00:00+00:00,6,6,11,1
2025-09-02 00:00:00+00:00,3,3,6,1
2025-09-03 00:00:00+00:00,6,6,0,0
2025-09-04 00:00:00+00:00,21,18,8,1
2025-09-05 00:00:00+00:00,6,6,8,2
2025-09-06 00:00:00+00:00,4,4,0,0
2025-09-07 00:00:00+00:00,4,4,0,0
2025-09-08 00:00:00+00:00,5,4,11,2
2025-09-09 00:00:00+00:00,1,1,15,2
2025-09-10 00:00:00+00:00,4,4,6,2
2025-09-11 00:00:00+00:00,4,4,29,2
2025-09-12 00:00:00+00:00,1,1,0,0
2025-09-13 00:00:00+00:00,7,7,2,1
2025-09-14 00:00:00+00:00,4,4,0,0
2025-09-15 00:00:00+00:00,1,1,12,1
2025-09-16 00:00:00+00:00,7,5,2,2
2025-09-17 00:00:00+00:00,13,11,2,1
2025-09-18 00:00:00+00:00,3,3,0,0
2025-09-19 00:00:00+00:00,1,1,36,1
2025-09-20 00:00:00+00:00,5,5,0,0
2025-09-21 00:00:00+00:00,6,6,0,0
2025-09-22 00:00:00+00:00,5,4,0,0
